"_id",stop_id,lat,lon,miss_c_0,wt_rr_0,wt_pr_opt_0,dt_rr_0,dt_pr_opt_0,mc_rr_0,mc_pr_opt_0,buffer_pr_opt_0,miss_c_1,wt_rr_1,wt_pr_opt_1,dt_rr_1,dt_pr_opt_1,mc_rr_1,mc_pr_opt_1,buffer_pr_opt_1,miss_c_2,wt_rr_2,wt_pr_opt_2,dt_rr_2,dt_pr_opt_2,mc_rr_2,mc_pr_opt_2,buffer_pr_opt_2,miss_c_3,wt_rr_3,wt_pr_opt_3,dt_rr_3,dt_pr_opt_3,mc_rr_3,mc_pr_opt_3,buffer_pr_opt_3,miss_c_4,wt_rr_4,wt_pr_opt_4,dt_rr_4,dt_pr_opt_4,mc_rr_4,mc_pr_opt_4,buffer_pr_opt_4,miss_c_5,wt_rr_5,wt_pr_opt_5,dt_rr_5,dt_pr_opt_5,mc_rr_5,mc_pr_opt_5,buffer_pr_opt_5,miss_c_6,wt_rr_6,wt_pr_opt_6,dt_rr_6,dt_pr_opt_6,mc_rr_6,mc_pr_opt_6,buffer_pr_opt_6,miss_c_7,wt_rr_7,wt_pr_opt_7,dt_rr_7,dt_pr_opt_7,mc_rr_7,mc_pr_opt_7,buffer_pr_opt_7,miss_c_8,wt_rr_8,wt_pr_opt_8,dt_rr_8,dt_pr_opt_8,mc_rr_8,mc_pr_opt_8,buffer_pr_opt_8,miss_c_9,wt_rr_9,wt_pr_opt_9,dt_rr_9,dt_pr_opt_9,mc_rr_9,mc_pr_opt_9,buffer_pr_opt_9,wt_er,wt_ar,wt_nr,mc_er,mc_nr,dt_er,total
5da33b2d0240d88053cd6670,HIGCOON,40.050206,-83.020081,0,652.4504220273703,208.33213144308777,678.0289273129558,63.78615914119479,17049,1574,175.57280996476277,0,759.317339998361,218.06154224371056,803.3624108825699,78.82557567811195,20095,1899,176.5934606244366,0,783.7584200606408,228.0072113414734,839.4613619601737,88.51446365647791,20953,2112,180.65188887978366,0,793.6150946488568,234.61058756043596,858.5792018356142,97.74760304843072,21670,2306,182.76817176104237,0,751.5006555764976,247.23453249201017,817.5223305744489,106.31152175694501,20505,2482,191.2705891993772,0,673.6752847660412,255.52839465705154,731.4950831762682,116.03531918380726,17793,2688,193.683930181103,0,677.7678849463247,261.06146029664836,745.4475129066623,121.47459641071868,18338,2814,197.25026632795215,0,679.6096451692207,263.55449479636155,753.2901335737114,124.59460788330739,18583,2924,199.47185118413506,0,683.4384987298205,264.7444890600672,764.7569450135213,127.56420552323199,18869,3042,204.16413996558222,0,677.8870359747604,269.2750962877981,760.2746865524871,133.37531754486602,18656,3193,208.43522084733263,259.1966319757437,450.0864541506187,283.1273867081865,3352,1720,295.87060558878966,24406
5da33b2d0240d88053cd6671,HIGDODN,40.016549,-83.011808,0,785.2515370112304,229.9586031641938,825.1270595950488,94.831256660382,20620,2226,201.06279203213379,0,731.6150094270022,243.82084597098122,773.0159029428642,103.12230510697599,19088,2459,213.22608410525453,0,766.7199770472989,251.13439626198868,828.5454135584883,104.86658742519879,20660,2525,218.14697926059512,0,770.5956635789819,261.9713501106648,848.5786539880318,112.19874579883597,21266,2704,223.7150586113616,0,753.8449053201082,265.99213050250023,838.9122059185179,111.89019591769818,21062,2722,228.32773178129355,0,722.8933929010575,276.46544798753996,804.2778096565293,116.16300516435773,20186,2851,230.79514714320845,0,708.0696778424461,282.81100909910646,789.9160996803016,117.24538896630871,19785,2848,232.80924665956226,0,696.7565374211001,289.0385277481761,779.4925813591278,122.90093450282811,19498,2956,232.4682351012378,0,684.3798262152635,294.1778834330683,767.6757930977949,128.01787031723913,19209,3069,232.81785392245266,0,670.9088859742602,299.68854004426595,752.8585129928682,129.98503975735716,18882,3173,234.09213869989344,259.1454217558816,450.02094433969995,280.6149684400361,3299,1599,298.2765390605787,24398
5da33b2d0240d88053cd6672,HIGEUCN,39.991224,-83.006225,0,779.7996389891697,224.74503610108303,820.4497046275025,90.17906957663276,20661,2125,179.1799310797506,0,801.2090580899245,258.091278306531,848.3858713488678,114.78835740072202,21524,2796,193.62036429274696,0,727.1215129635707,265.9378897276009,777.4865851657368,120.68374630784378,19669,2964,195.67525434853954,0,720.5158762717427,275.47033967837217,781.173285198556,121.4096242205448,19617,2990,202.11519527404005,0,693.9433459140138,286.9494995077125,759.1021086314407,123.33192484410895,19078,3025,206.39358385297012,0,678.7429438792254,294.55324909747293,746.9619707909419,126.93440269117164,18719,3111,207.49220544798163,0,651.355431572038,297.3650311782081,717.6132261240565,129.87225139481458,18048,3152,204.7009353462422,0,627.9238595339679,302.83254020347886,691.4808828355759,128.33479652116836,17392,3096,208.21997046275024,0,607.1071956022317,309.9213570725304,666.7052428618313,131.57531998687233,16674,3164,207.64932720708893,0,586.9512635379061,324.13874302592717,639.5608385297013,131.82519691499837,15832,3096,211.99048244174597,260.923121102724,448.8791023957991,279.0880374138497,3448,1210,327.7638660978011,24376
5da33b2d0240d88053cd6673,HIGFALN,40.039262,-83.017799,0,809.0205687126116,214.19396869622224,853.0661722527248,74.09858231582398,21398,1747,177.52888633942473,0,824.8132836187823,236.80959600098336,873.9641481602885,89.33598295501106,21898,2112,190.9133000081947,0,673.1506596738507,248.92006064082602,709.6522166680325,102.70015569941818,16940,2392,194.11538146357452,0,694.6999918052937,256.48365156109156,744.1128001311153,108.65205277390805,18007,2539,200.02909120708023,0,695.0574448906007,264.7363763009096,754.1795460132754,118.44001475047119,18460,2755,201.58854380070474,0,697.4480455625666,266.3026714742276,764.987544046546,121.81455379824634,18886,2849,206.81389822174876,0,681.5580594935672,266.86355814144065,749.7585839547652,124.15815783004179,18498,2924,212.17856264852904,0,672.7173236089486,270.2206014914365,740.9497664508727,126.61824961075145,18129,3065,218.84454642301074,0,674.195115955093,276.84802917315415,747.1604933213144,130.71273457346555,18269,3180,221.8233221339015,0,677.2785790379415,284.7969351798738,757.9071539785299,135.44530033598295,18600,3294,225.45603540113086,261.01667622715723,450.0653322953372,278.33725313447513,3366,1543,299.9867655494551,24406
5da33b2d0240d88053cd6674,HIGFITN,40.066362,-83.01918,0,586.9829415259272,200.74043112959347,617.2690316557753,59.190783331918865,14991,1339,165.86650258847493,0,728.8170245268607,228.07807858779597,780.9313841975728,82.83073071374014,19166,1855,175.43028091318,0,684.6337095816006,240.12293134176355,735.2809556140202,95.16379529831113,17253,2125,178.06797929220062,0,689.5784180599169,247.9870151913774,754.7006280234236,103.4830263939574,18034,2280,182.12339811592972,0,683.1356615462955,254.92977170499873,756.250997199355,110.68272086904862,18099,2450,183.73970975133668,0,634.9441144021047,266.6884070270729,695.9181447848596,109.20550793516082,16179,2431,190.91445302554527,0,640.5414155987439,268.3684969871849,709.5042009674955,115.65895782058898,16588,2575,186.94687261308664,0,631.8597131460579,272.52456929474664,703.9492913519477,124.27221420690826,16439,2742,186.11559025715013,0,631.4282440804549,274.8002630908937,709.2424255283034,130.92226088432488,16648,2877,188.50802002885513,0,626.4259950776542,279.93592463718915,703.649028261054,131.98663328524145,16348,2926,194.68980734957142,269.45671730459134,451.0247390308071,314.1118136298056,3287,2009,306.27883391326486,23566
5da33b2d0240d88053cd6675,HIGGLEN,40.044801,-83.0193,0,737.7150407669931,200.77686729217027,785.1475396402672,71.00254025484492,19631,1708,162.74552382513212,0,792.1413528905642,214.69508747490474,852.6203957880936,82.93247838734789,21430,1976,169.14614659728767,0,799.9487851845782,223.16241242266562,870.6777973532184,93.58827385586102,22105,2220,171.32339083049945,0,753.2086286721022,239.36813209325194,825.0835006350637,105.50731347564223,20803,2464,182.1497930921457,0,669.5065350104478,245.67472446429304,732.3973450239686,113.8760191748269,17855,2655,184.2963084361044,0,682.059122382923,251.9660753062646,756.8723726799689,118.95800385135412,18685,2773,188.5508255828246,0,679.9187937886671,254.98750358503708,760.9629204736347,123.36366616134715,18860,2910,190.29581677387634,0,682.1636006063834,256.0776006883271,770.5652476748473,127.22341951079608,19118,3041,194.09390748555742,0,676.4839595198099,260.50821485639364,766.5539394436022,132.94018109558732,18882,3178,198.95030114311467,0,667.8900725201786,263.5498012865162,760.4956774695784,134.75339042078093,18738,3297,204.4921538902774,260.41738025976156,450.123120416274,279.37985004302044,3369,1620,297.7987052894661,24407
5da33b2d0240d88053cd6676,HIGGLENN,40.037462,-83.017317,0,799.3575760059002,203.61685651069408,860.1652462509219,76.74219454232566,21696,1824,160.9927886585266,0,809.9459559124805,225.77448168483158,876.2986150946489,93.80013111529952,22239,2197,173.70523641727445,0,667.0934606244366,237.07469474719332,719.6851184135048,104.9398918298779,17297,2442,178.20535933786775,0,685.7561255428993,244.647054003114,752.581578300418,111.90821929033844,18472,2608,182.83372941080063,0,689.5046300090141,252.57694829140377,766.2371547980005,119.72269114152257,18931,2777,185.5596984348111,0,690.9432926329591,252.285831352946,775.4388265180693,123.31000573629436,19315,2905,189.22969761534048,0,680.2996394329264,252.47181021060396,766.429976235352,125.34679996722117,18973,2986,195.00901417684176,0,668.2439564041629,257.7030648201262,754.1420552323199,129.99774645578955,18548,3149,200.86208309432106,0,665.0934196509055,264.0185200360567,754.9663197574367,133.0526919609932,18615,3251,203.74702941899534,0,665.989264934852,272.1721707776776,763.04474309596,138.24002294517743,18886,3365,207.49364910267968,261.2167090059821,450.0988281570106,275.24305498647874,3349,1444,301.02827173645824,24406
5da33b2d0240d88053cd6677,HIGHUDN,40.01426,-83.011194,0,481.7752633952363,190.54064690689952,475.26823268970605,28.432337145902512,11890,751,206.51498380682983,0,682.910958061739,211.66420694461524,698.1713606362481,42.651621366785555,17165,1152,216.4780879760587,0,732.3306686344444,225.90542368712335,767.7209445332677,55.593776903209935,19049,1435,220.74324601320052,0,740.5323658426598,233.95478210962162,787.1495511007256,60.74345099003813,19612,1557,226.56581806255892,0,722.5802894272947,243.9911040052474,768.3106218997253,65.13905628663962,19131,1661,229.71918173246422,0,719.7572254335261,248.890829336285,767.9603574796048,65.68167097118025,19225,1694,231.17656704792358,0,729.4372975853729,254.2290001229861,779.8105604066741,71.73795761078998,19545,1822,230.07420161521748,0,724.7058992333866,257.36002131759113,777.1758701266757,75.54552535563481,19699,1898,230.34354117984668,0,714.4607059402288,266.29438773418605,766.7891608248268,79.3027097937933,19584,1948,234.38363464928463,0,692.3126716681015,271.6720370598122,741.195711884557,85.42979543311606,18917,2098,235.43803550198828,260.85163776493255,450.0068462263764,273.7476325175255,3353,1212,315.2105932029681,24393
5da33b2d0240d88053cd6678,HIGINDN,40.047648,-83.020074,0,636.8994960462162,215.176301880608,661.4193469086738,71.55131724505264,16762,1717,180.68054246732495,0,709.0013930429794,227.46126111361494,747.311549965174,84.80034416355963,18757,2015,186.55754496660794,0,732.4911705658213,231.81185725406647,781.3739910681362,92.3441225877822,19706,2214,187.32371860531813,0,712.2707829720981,247.70590404392183,762.3194165608227,102.09255541443028,19214,2385,198.40045888474617,0,635.0161019379686,255.74945712295653,676.5684025074773,112.10279837751465,16279,2610,200.1139017494981,0,644.6727578153808,261.7468349244069,696.5911418855246,117.14618756914,17030,2720,204.79042897529396,0,642.9778342278854,268.6198221821609,701.8401688040316,123.80636702585323,17287,2872,208.43897242594338,0,650.9598475847093,266.5201786372762,717.5012496414963,124.82861474167247,17764,2961,211.6556725529561,0,650.1341008727004,269.83242512393986,717.5608227147949,129.32986438316877,17608,3089,217.17908796656698,0,648.2055967550293,274.90769041668375,717.6792723399025,133.36768140287623,17551,3228,222.8487728930225,260.05838488958085,450.07122956528866,283.13672307125006,3374,1739,296.1113614946532,24407
5da33b2d0240d88053cd6679,HIGKELN,40.021572,-83.0131,0,705.2571416861347,208.26341243493584,749.4510430755358,87.86815033403008,18703,2034,172.3947702774704,0,731.1910324193615,223.03623099307347,780.2484937907291,101.86036312963645,19634,2402,184.93831714414526,0,709.7556047378991,235.83691954588303,761.0131152916103,110.94385015779335,19118,2598,197.85483011598836,0,689.1371367679003,243.07090454526823,745.4682978810607,113.13639903274725,18406,2723,207.39620476249027,0,718.7948276568712,252.16390015984263,791.9709414320259,116.79052420181155,19740,2814,212.14680929546293,0,715.580597565474,259.73515308004426,801.3872699700808,120.69613508750359,20093,2912,216.96708881511537,0,699.3493995655559,261.97368744620684,790.8663469814337,119.85122341079553,19901,2935,219.40202467314234,0,678.3416123611623,271.3689085618263,767.5768679044223,124.50256158039264,19278,3018,221.40579531948032,0,668.1031599655723,278.10967662609124,757.4633796467068,125.49305299397517,18970,3037,223.81982868150334,0,655.4741997622854,281.10016803967375,744.4816590843888,129.22591089798763,18677,3113,222.71609492192303,256.54526824869873,450.28085167424894,282.2158695028485,3252,1585,296.6620353293168,24399
