_id,stop_id,lat,lon,miss_c_0,wt_rr_0,wt_pr_0,dt_rr_0,dt_pr_0,mc_rr_0,mc_pr_0,bf_pr_0,mr_rr_0,mr_pr_0,miss_c_1,wt_rr_1,wt_pr_1,dt_rr_1,dt_pr_1,mc_rr_1,mc_pr_1,bf_pr_1,mr_rr_1,mr_pr_1,miss_c_2,wt_rr_2,wt_pr_2,dt_rr_2,dt_pr_2,mc_rr_2,mc_pr_2,bf_pr_2,mr_rr_2,mr_pr_2,miss_c_3,wt_rr_3,wt_pr_3,dt_rr_3,dt_pr_3,mc_rr_3,mc_pr_3,bf_pr_3,mr_rr_3,mr_pr_3,miss_c_4,wt_rr_4,wt_pr_4,dt_rr_4,dt_pr_4,mc_rr_4,mc_pr_4,bf_pr_4,mr_rr_4,mr_pr_4,miss_c_5,wt_rr_5,wt_pr_5,dt_rr_5,dt_pr_5,mc_rr_5,mc_pr_5,bf_pr_5,mr_rr_5,mr_pr_5,miss_c_6,wt_rr_6,wt_pr_6,dt_rr_6,dt_pr_6,mc_rr_6,mc_pr_6,bf_pr_6,mr_rr_6,mr_pr_6,miss_c_7,wt_rr_7,wt_pr_7,dt_rr_7,dt_pr_7,mc_rr_7,mc_pr_7,bf_pr_7,mr_rr_7,mr_pr_7,miss_c_8,wt_rr_8,wt_pr_8,dt_rr_8,dt_pr_8,mc_rr_8,mc_pr_8,bf_pr_8,mr_rr_8,mr_pr_8,miss_c_9,wt_rr_9,wt_pr_9,dt_rr_9,dt_pr_9,mc_rr_9,mc_pr_9,bf_pr_9,mr_rr_9,mr_pr_9,wt_er,wt_ar,wt_nr,mc_er,mc_nr,dt_er,total
5da33b2d0240d88053cd669a,MAIEASW,39.95676,-82.918595,0,738.5823265,228.9133644,793.007175,75.97542369,20247,1824,172.1665086,0.834893406,0.075213393,0,658.6991052,244.3643561,711.416354,87.80202878,18322,2093,178.3901695,0.755515236,0.086305719,0,601.9036741,254.0591728,644.696095,97.97385675,16172,2322,179.6870232,0.666859099,0.095748629,0,601.8863964,253.5341635,652.9584759,105.0608222,16637,2516,179.1113769,0.686033566,0.103748299,0,589.6179951,261.8858191,642.5055462,107.5314008,16454,2583,190.5265762,0.678487485,0.106511072,0,575.9018597,268.8692425,619.7361758,112.6108614,15338,2739,198.2516185,0.632468764,0.112943796,0,591.0976455,280.5030308,641.7875552,121.1012329,15821,2903,201.9619809,0.652385469,0.119706404,0,597.7501134,300.2054348,654.4935467,114.6188611,16145,2738,209.3389963,0.665745742,0.112902561,0,617.7355573,302.1505093,688.5102882,112.1080368,17267,2703,204.3449755,0.712011876,0.111459321,0,592.1997031,314.8673869,659.1514989,112.8323368,16645,2709,201.2857202,0.686363449,0.111706734,212.9933199,441.2367119,205.214053,3219,1065,252.6850852,24251
5da33b2d0240d88053cd669b,MAIESTW,39.955591,-82.791025,0,1614.403455,315.6354809,1675.796732,134.42493,8763,685,152.719888,0.818207283,0.063958917,0,1748.210551,334.6155929,1815.526704,145.0661064,9547,741,140.9066293,0.891409897,0.069187675,0,1558.774416,391.6094304,1598.698506,192.7864613,8450,1003,131.1073763,0.78898226,0.093650794,0,1111.983193,442.2565826,1104.246685,259.7026144,5826,1345,118.8431373,0.543977591,0.125583567,0,723.7038282,464.7658263,674.4812325,292.3705882,3418,1507,118.2857143,0.31914099,0.140709617,0,729.1052288,475.7096172,687.5796452,312.3818861,3496,1608,116.8786181,0.326423903,0.150140056,0,744.1518207,490.1528478,710.0791783,334.6905696,3600,1717,117.363212,0.336134454,0.16031746,0,754.4397759,501.1347339,728.3445378,355.7396825,3693,1832,115.1848739,0.344817927,0.171055089,0,766.8101774,516.6094304,749.5502334,382.7310924,3783,1959,113.5873016,0.353221289,0.182913165,0,786.9232493,535.0467787,780.2776844,415.2101774,3963,2131,109.2689076,0.370028011,0.198972923,324.488422,914.5176471,210.6024276,1312,326,354.8797386,10710
5da33b2d0240d88053cd669c,MAIFAIW,39.957576,-82.952676,0,658.2301574,210.8275777,711.297206,78.07450754,17823,1914,179.1626144,0.734484464,0.078875793,0,712.5069233,222.5308662,777.3378802,89.38382923,19444,2131,182.9699992,0.80128575,0.087818347,0,684.1687134,230.5614852,744.0882717,97.93703124,18491,2380,184.9777466,0.762012693,0.098079618,0,715.566348,235.0969257,787.99489,103.8605044,19723,2486,187.0345339,0.812783318,0.102447869,0,671.2189895,242.0104261,740.5138877,107.4953021,18494,2573,191.1299761,0.762136322,0.106033133,0,632.9677326,251.6480673,698.2346493,106.8721256,17254,2541,198.8106816,0.711036017,0.104714415,0,633.8227973,259.1521882,703.0655238,108.9241325,17302,2556,200.8320284,0.713014094,0.105332564,0,641.2001566,257.1428336,717.5452485,107.1443996,17759,2563,199.5792467,0.731847029,0.105621034,0,635.141927,266.8075084,717.0675019,111.2623424,17876,2615,200.4574301,0.73666859,0.10776395,0,615.984876,270.2780434,692.957801,115.1484381,17254,2693,199.8854364,0.711036017,0.110978324,214.4084728,441.4281299,216.5609083,3261,1574,245.0598368,24266
5da33b2d0240d88053cd669d,MAIFOUW,39.955052,-82.860003,0,976.4495521,225.362388,970.5426641,57.4295785,7791,493,196.0992804,0.572110442,0.036202085,0,1184.5398,266.4229696,1194.050668,96.45050668,9497,797,199.4081363,0.697385813,0.058525481,0,1364.880452,277.9516816,1399.641357,117.2343222,11136,960,191.1161698,0.817741225,0.070494933,0,1342.224335,285.2537818,1381.441401,121.7294757,11186,1024,194.7070054,0.821412836,0.075194595,0,1240.760905,293.6144808,1269.431047,132.5015421,10404,1125,198.4836246,0.763988838,0.08261125,0,1151.678587,317.8009987,1178.469012,151.8807461,9771,1281,207.2382141,0.717506242,0.094066676,0,1134.72015,320.3817007,1165.59884,154.6791746,9516,1293,210.1916581,0.698781025,0.094947863,0,1130.421207,333.801733,1168.171097,158.0080041,9626,1327,216.6779263,0.70685857,0.097444559,0,1121.090248,335.8042297,1160.262961,155.9795124,9532,1322,215.3745043,0.699955941,0.097077398,0,1115.462696,341.8747246,1159.961668,160.266559,9593,1339,212.0355412,0.704435306,0.098325745,263.6970921,778.3050375,184.492363,1477,350,299.8335292,13618
5da33b2d0240d88053cd669e,MAIHAFW,39.955272,-82.806424,0,1535.334267,314.657423,1593.22549,161.4729225,8312,832,177.3585434,0.776097106,0.077684407,0,1530.2,347.3818861,1588.081886,171.3369748,8309,872,182.6106443,0.775816993,0.081419234,0,1407.634921,363.2678805,1458.988235,159.2404295,7603,814,180.9654528,0.709897292,0.076003735,0,1504.310177,364.9268908,1562.754062,159.9845005,8157,818,161.9187675,0.76162465,0.076377218,0,1606.205322,370.434267,1668.254248,165.0148459,8788,846,147.3996265,0.82054155,0.078991597,0,1430.655275,407.2434174,1462.188422,203.6564893,7761,1042,132.1493931,0.72464986,0.09729225,0,1053.303548,451.5029879,1039.448086,260.1474323,5473,1332,122.9579832,0.51101774,0.124369748,0,684.4365079,464.0733894,627.2878618,284.7247432,3170,1466,118.1148459,0.295985061,0.136881419,0,688.0129785,476.8823529,637.7603175,306.3112045,3230,1567,117.3081232,0.301587302,0.146311858,0,704.0489262,489.0810458,661.107563,328.9662932,3337,1684,114.799253,0.311577965,0.157236228,322.9847806,914.2137255,212.1560224,1287,282,358.5136321,10710
5da33b2d0240d88053cd669f,MAIHAMW,39.955541,-82.876401,0,609.5162453,225.180315,607.6101119,18.59063407,15515,566,183.0244509,0.642975549,0.023456278,0,674.9588065,248.4890178,677.7097389,46.97911314,16935,1279,182.7940323,0.701823456,0.053004559,0,593.5126399,255.67816,568.4729383,58.06195607,13645,1562,184.0949026,0.565478657,0.064732698,0,585.6660588,268.5696643,567.90431,65.29254041,13553,1753,193.4467468,0.561665976,0.072648156,0,546.9244923,276.3186075,526.106465,71.93120597,12626,1951,197.6386241,0.523249068,0.080853709,0,551.968131,277.6863655,536.0711977,76.59730626,12768,2068,193.6228761,0.529133858,0.085702445,0,560.8599668,276.3784086,556.9506009,83.98354745,13341,2232,188.6945711,0.552880232,0.092498964,0,540.8527559,278.289225,542.3407377,89.33982594,13241,2438,189.0907584,0.548736013,0.101036055,0,512.4586407,277.500373,508.1293411,97.07903025,12538,2649,186.7310402,0.519602155,0.109780356,0,511.1857853,283.075259,510.652673,108.577041,12535,2907,188.6568587,0.519477828,0.120472441,195.2515126,439.706465,163.7789474,3105,600,232.9702031,24130
5da33b2d0240d88053cd66a0,MAIHEAW,39.954901,-82.854892,0,1343.861011,289.5808151,1371.813418,141.1346456,7338,736,184.0245818,0.678125866,0.068015895,0,1604.406709,297.2838924,1657.969134,155.7192496,8898,819,176.7590796,0.822289992,0.075686166,0,1767.50901,313.4603087,1855.406432,173.7779318,9991,923,173.1549764,0.923297292,0.085297107,0,1654.604103,331.300804,1718.834304,189.5348859,9282,998,179.7052028,0.857776546,0.092228075,0,1584.644672,361.9188615,1647.215137,216.9117457,8989,1153,188.4225118,0.830699566,0.106552075,0,1358.264393,369.3051474,1409.273542,223.6600129,7619,1185,193.8443767,0.704093892,0.109509287,0,1430.151003,382.5126144,1495.802791,226.2078366,8142,1202,200.1127437,0.752425839,0.111080307,0,1386.431568,390.5344238,1451.282783,223.1209685,7908,1191,201.8427132,0.73080122,0.110063765,0,1393.162462,389.3428519,1464.989927,220.2739118,8005,1167,197.8430829,0.739765271,0.107845855,0,1367.762776,400.6785879,1439.683209,225.7539044,7872,1202,195.9550873,0.727474355,0.111080307,349.3836984,921.9985214,254.2895296,1415,486,391.0486092,10821
5da33b2d0240d88053cd66a1,MAIHENW,39.955124,-82.81465,0,1468.842312,326.6693119,1514.674914,174.9943049,7932,904,187.444683,0.740547101,0.084399216,0,1543.191952,344.9601344,1597.843245,187.0970031,8399,966,191.4172346,0.784147138,0.090187658,0,1550.346933,350.1606759,1613.665204,174.9794604,8479,902,192.9679768,0.791616096,0.084212492,0,1464.450378,363.0537765,1520.837363,169.2886752,7985,870,190.370647,0.745495285,0.081224909,0,1414.317991,378.8550089,1465.751937,164.0628326,7650,845,180.9000093,0.714219027,0.07889086,0,1526.433573,376.1471385,1584.903837,163.6050789,8356,841,163.8446457,0.780132574,0.078517412,0,1492.828774,403.0318364,1538.442629,191.3038932,8198,986,147.6379423,0.765381384,0.092054897,0,1226.604145,435.2992251,1233.228457,234.9859957,6582,1201,131.5161983,0.614508449,0.112127719,0,901.3556157,456.1054057,867.3257399,270.1741201,4543,1392,121.3761554,0.424143404,0.129959854,0,689.3094949,471.9172813,633.5028475,293.700028,3218,1505,121.6011577,0.300438801,0.140509756,320.8210251,914.1640837,215.3847447,1274,304,355.1466716,10711
5da33b2d0240d88053cd66a2,MAIHOLW,39.957441,-82.945385,0,755.4402868,221.3748867,814.0070881,90.36746889,20749,2147,174.9348883,0.8550647,0.088477705,0,789.8236627,229.3849419,856.1817358,97.04660842,21906,2308,179.5924339,0.902744581,0.095112503,0,740.3059013,237.799967,810.1247012,100.6698673,20876,2402,185.5921866,0.86029836,0.098986236,0,694.3872084,246.3055716,761.3900107,105.3134427,19342,2527,191.1806643,0.797082337,0.104137476,0,681.7698426,256.8709717,750.8330998,104.782288,18859,2488,197.3077557,0.777177944,0.102530289,0,681.8457513,260.883005,755.9333636,106.0698508,18932,2529,196.9195582,0.780186269,0.104219896,0,670.2995549,265.0612379,749.461922,109.7069974,18868,2605,196.0228303,0.777548834,0.10735185,0,642.5966785,273.5876535,718.5763208,113.1383005,18157,2624,198.3738564,0.748248578,0.108134839,0,628.0789582,277.8973049,702.0047804,117.000206,17679,2764,199.5590538,0.728550235,0.113904228,0,611.0350284,281.0559219,676.7997198,123.2562845,16856,2852,199.0023078,0.694634468,0.117530701,214.7003626,441.5346575,213.6221874,3213,1471,245.7391824,24266
5da33b2d0240d88053cd66a3,MAIJACW,39.955403,-82.799452,0,1523.513165,315.2676004,1572.542297,133.018394,8255,684,180.6713352,0.770774977,0.063865546,0,1444.083007,340.055929,1490.513725,134.4506069,7775,695,174.6704015,0.725957049,0.064892624,0,1576.716807,341.5478058,1633.181979,135.5109244,8581,689,156.512605,0.801213819,0.0643324,0,1545.456116,363.7097106,1591.8831,152.6558357,8445,785,144.0373483,0.788515406,0.073295985,0,1242.515593,406.0855275,1246.272736,204.1038282,6669,1057,129.2857143,0.622689076,0.09869281,0,902.1680672,441.5607843,866.2419234,253.2432306,4549,1306,120.3594771,0.424743231,0.12194211,0,696.7687208,460.351634,639.7824463,281.6036415,3262,1454,119.1521942,0.304575163,0.135760971,0,709.7568627,471.8633053,661.3067227,300.4829132,3352,1549,119.5975724,0.312978525,0.144631186,0,724.945845,486.7830065,683.7095238,325.2504202,3464,1673,118.6741363,0.323436041,0.15620915,0,724.0556489,493.0990663,690.2815126,342.9771242,3495,1767,115.2212885,0.326330532,0.164985994,318.1260504,914.2043417,210.392437,1261,286,352.3776844,10710
